iter	Passed	Remaining
0	0	94
1	1	85
2	1	83
3	2	79
4	3	86
5	5	103
6	5	99
7	6	95
8	6	92
9	7	88
10	8	87
11	8	84
12	10	94
13	11	93
14	12	92
15	12	90
16	13	88
17	14	86
18	14	85
19	15	83
20	15	81
21	16	79
22	17	81
23	18	80
24	19	78
25	19	77
26	20	76
27	21	75
28	21	73
29	22	72
30	22	71
31	23	69
32	23	68
33	24	67
34	25	66
35	26	68
36	27	67
37	28	66
38	28	65
39	29	64
40	30	63
41	30	63
42	31	62
43	32	62
44	33	61
45	34	60
46	34	59
47	35	58
48	35	57
49	36	56
50	36	55
51	37	54
52	38	53
53	38	53
54	39	52
55	40	51
56	40	50
57	41	49
58	41	48
59	42	48
60	44	48
61	44	47
62	45	47
63	46	46
64	47	45
65	47	45
66	48	44
67	49	43
68	49	42
69	50	41
70	50	40
71	51	39
72	51	39
73	52	38
74	53	37
75	53	36
76	54	35
77	54	35
78	55	34
79	55	33
80	56	32
81	56	31
82	56	30
83	57	29
84	57	29
85	58	28
86	58	27
87	59	27
88	61	26
89	61	26
90	62	25
91	62	24
92	63	24
93	64	23
94	64	22
95	65	21
96	66	21
97	66	20
98	67	19
99	67	18
100	68	18
101	68	17
102	69	16
103	69	16
104	70	15
105	71	14
106	71	14
107	72	13
108	72	12
109	73	11
110	73	11
111	74	10
112	75	10
113	76	9
114	76	8
115	77	7
116	78	7
117	79	6
118	80	6
119	81	5
120	82	4
121	83	4
122	83	3
123	84	2
124	84	2
125	85	1
126	86	0
127	87	0
